Organization Name,Organization Name URL,IPO Status,Company Type,Industries,Number of Employees,Headquarters Location,CB Rank (Organization),Stage,CB Rank (Company),Stock Symbol,Stock Symbol URL,Similar Companies,CB Rank (School),Number of Events,Stock Exchange,Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Delisted Date,Delisted Date Precision,IPO Date,Acquisition Terms,Acquisition Type,Price,Price Currency,Price (in USD),Announced Date,Announced Date Precision,Acquired by,Acquired by URL,Transaction Name,Transaction Name URL,Acquisition Status,Number of Acquisitions,Number of Investors,Number of Lead Investors,Top 5 Investors,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Funding Type,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Date,Funding Status,Number of Funding Rounds,Founders,Number of Founders,Industry Groups,Accelerator Program Type,Accelerator Duration (in weeks),Accelerator Application Deadline,Investment Stage,Investor Type,Full Description,Phone Number,Contact Email,LinkedIn,Website,Closed Date,Closed Date Precision,Exit Date,Exit Date Precision,Founded Date,Founded Date Precision,Operating Status,Description,Estimated Revenue Range,Postal Code,Headquarters Regions,Number of Portfolio Organizations
ShopPaid,https://www.crunchbase.com/organization/shoppaid,Private,For Profit,"Apps, Food and Beverage, Nutrition, Shopping",1-10,"Milan, Lombardia, Italy","2,782,860",,"2,707,761",,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Apps, Commerce and Shopping, Food and Beverage, Health Care, Software",,,,,,ShopPaid creates their shopping lists. They provide an average cost figure for each product included in the list. They can tell them the cost estimate for generic items. Check the nutritional alerts on their shopping list to see if they are in line with them and their family's constraints and preferences.,,info@shoppaid.it,https://www.linkedin.com/company/shoppaid/,https://shoppaid.it,,,,,2022-01-01,year,Active,"ShopPaid is an app for food products that creates and shares lists, analyses products, and calculates their costs.",,20135,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Shifton,https://www.crunchbase.com/organization/shifton-be2b,Private,For Profit,"Business Development, Management Consulting, Skill Assessment",1-10,"Milan, Lombardia, Italy","3,164,527",,"3,082,543",,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emanuel Ingrao,1.0,"Education, Professional Services",,,,,,"Shifton provides business design, service design, strategic design, education and training, social impact assessment, design for happiness, philanthropy advisory, communication with impact, space design, healthcare, education and training, CSR, community and collaboration, and welfare services.",,hello@shifton.it,https://www.linkedin.com/company/shifton-human-business-design,https://shifton.it,,,,,2018-01-01,year,Active,Shifton offers social impact assessment and design for social impact.,,20141,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Share Your eXperience,https://www.crunchbase.com/organization/share-your-experience,Private,For Profit,"Education, Internet",,"Turin, Piemonte, Italy","1,920,114",,"1,857,522",,,6.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Education, Internet Services",,,,,,,+39 011 0437401,info@synesthesia.it,https://www.linkedin.com/company/synesthesia,http://www.syx.it/,,,,,2018-01-01,year,Active,Share Your eXperience is an online platform that allows web developers to connect and share their skills and knowledge.,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Sfera Legal,https://www.crunchbase.com/organization/sfera-legal-0083,Private,For Profit,"Advice, Consulting, Legal",11-50,"Rome, Lazio, Italy","3,327,810",,"3,242,069",,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Media and Entertainment, Professional Services",,,,,,,+39 0697638380,,https://www.linkedin.com/company/sfera-legale/,https://sferalegale.com,,,,,2021-01-01,year,Active,"Sfera Legal is a consulting firm that specializes in offering legal advice for families, freelancers, and SMEs.",,198,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Settezerouno,https://www.crunchbase.com/organization/settezerouno,Private,For Profit,"Artificial Intelligence (AI), Product Design, Software",1-10,"Milan, Lombardia, Italy","2,887,072",,"2,810,220",,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Design, Science and Engineering, Software",,,,,,"Settezerouno offers its services to startups and companies. Their services include startup positioning and development strategy, product and service design, marketing and business development, project and customer management, team, organization, and process services.  Their services for companies, work with IOT, smart plants and objects, digital twins, mathematical models for intelligent agents, predictive and prescriptive algorithms, machine learning, deep learning, augmented and mixed reality, machine vision, high performance, and distributed computing.",,info@ottozerouno.com,,https://ottozerouno.com,,,,,2022-01-01,year,Active,Settezerouno is a consulting agency that specializes in AI and data science.,,20149,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Serially,https://www.crunchbase.com/organization/serially,Private,For Profit,Media and Entertainment,11-50,"Milan, Lombardia, Italy","1,397,432",,"1,343,143",,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Massimo Vimini,1.0,Media and Entertainment,,,,,,,,,https://www.linkedin.com/company/serially,https://www.serially.it,,,,,2021-01-01,year,Active,Serially is a Broadcast Media Production and Distribution company.,,20124,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
SeoWaii,https://www.crunchbase.com/organization/seowaii,Private,,"Digital Marketing, SEO, Social Media Management, Web Design",1-10,"Milan, Lombardia, Italy","2,580,517",,"2,508,420",,,10.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Samuele Piazza,1.0,"Design, Internet Services, Sales and Marketing",,,,,,"We specialize in crafting distinctive Websites, strategic Google Ads, captivating Social Media Management, and powerful SEO. Our goal is simple: to elevate your digital presence and ensure your unique offerings shine, all while driving growth and acquiring new clients for your business. Let's make your brand unforgettable.",+393770822337,info@seowaii.com,,https://www.seowaii.com/,,,,,2019-09-28,day,Active,Our mission is to make your business stand out in the digital world and attract new clients effortlessly.,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
SENSO,https://www.crunchbase.com/organization/senso-29e4,Private,For Profit,"Electronics, Internet, Recycling",51-100,"Milan, Lombardia, Italy","1,724,271",,"1,664,613",,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gianmaria Monteleone,1.0,"Consumer Electronics, Hardware, Internet Services, Sustainability",,,,,,,+39 02 4003 1827,info@senso.it,https://www.linkedin.com/company/senso-linkedin/,https://senso.it,,,,,2019-01-01,year,Active,SENSO is an electronics company that refurbishes Apple devices and reconditions them using propriety technology and sells them.,$1M to $10M,20122,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Sendix,https://www.crunchbase.com/organization/sendix,Private,For Profit,"Delivery Service, Mobile Apps, Shipping",11-50,"Rome, Lazio, Italy","2,206,872",,"2,140,057",,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Danilo Filippo Bosco,1.0,"Apps, Mobile, Software, Transportation",,,,,,"Sendix sends packages, letters, and documents without leaving the house. they provide services and tools to help families, administrators, and suppliers with transparent condominium management.",+39 06 64 78 1712,info@sendix.it,https://www.linkedin.com/company/sendixplatform,https://sendix.it,,,,,2019-01-01,year,Active,"Sendix provides online shipping, condominium management, and personal assistant services.",,162,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Semplify my Business,https://www.crunchbase.com/organization/semplify-my-business,Private,For Profit,"Business Development, Consulting, Management Consulting",1-10,"Milan, Lombardia, Italy","3,550,224",,"3,457,888",,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Professional Services,,,,,,"Semplify my Business helps new entrepreneurs and accelerates ideas, facilitating growth processes. They provide incubated companies with a network of professionals who have been active in the business consulting sector for decades.",+39 3485757500,info@zampieriassociati.it,https://www.linkedin.com/company/zampieri-associati-srl,https://semplifymybusiness.com,,,,,2020-01-01,year,Active,"Semplify my Business provides corporate insurance programs, balance sheet indices, and financial services.",,20124,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
selmedico,https://www.crunchbase.com/organization/selmedico,Private,For Profit,"E-Commerce, Internet",1-10,"Rome, Lazio, Italy","3,029,422",,"2,950,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Myra KANG,1.0,"Commerce and Shopping, Internet Services",,,,,,"Selmedico Marketplace is a dynamic and rapidly growing online platform dedicated to connecting healthcare providers with medical equipment suppliers. Our mission is to streamline the procurement process in the medical industry, making it easier for healthcare professionals to access quality equipment while enabling suppliers to reach a broader market. We are passionate about leveraging technology to revolutionize healthcare procurement and improve patient outcomes.",0039 3287753017,myra@selmedico.com,https://www.linkedin.com/company/76987224/admin/,http://selmedico.com,,,,,2020-01-01,year,Active,We want to bring down the Cost of Your medical devices with Technology and Price Transparency!,,152,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Sellab,https://www.crunchbase.com/organization/sellab,Private,For Profit,"Advertising, Consulting, E-Commerce, Marketing",1-10,"Milan, Lombardia, Italy","878,047",,"835,302",,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Giovanni Passaro, Luca Bolognesi",2.0,"Advertising, Commerce and Shopping, Professional Services, Sales and Marketing",,,,,,"Sellab helps brands to grow in the fast-paced world of Amazon, online marketplaces, and e-commerce. Founded by e-commerce and digital marketing professionals, Sellab allows brands to start their Amazon business or to grow the revenues on the channel and find new customers for their e-commerce.",,info@sellab.it,https://www.linkedin.com/company/sellab-agency/,https://www.sellab.it,,,,,2021-01-01,year,Active,Digital Business Accelerator,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Seewave,https://www.crunchbase.com/organization/seewave,Private,For Profit,"Environmental Engineering, Marine Technology, Test and Measurement",1-10,"Rome, Lazio, Italy","3,820,133",,"3,718,346",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Data and Analytics, Science and Engineering, Sustainability",,,,,,,,info@seewave.eu.,https://www.linkedin.com/company/seewave/,https://www.seewave.eu,,,,,2020-01-01,year,Active,Seewave provides meteoceanographic data and coastal process modeling.,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Seetalabs,https://www.crunchbase.com/organization/seetalabs,Private,For Profit,"Artificial Intelligence (AI), Big Data, Industrial",1-10,"Turin, Piemonte, Italy","862,584",,"820,303",,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alessandro Capo, Sruti Chakraborty Mukherjee",2.0,"Artificial Intelligence (AI), Data and Analytics, Manufacturing, Science and Engineering, Software",,,,,,"Seetalabs applies the power of big data, cognitive computing, and artificial intelligence to its core product. Seetalabs distributes and serves its customers through online pipelines and offline contact nodes. Seetalabs is focused on developing solutions to solve important energy-related challenges and reliability challenges.",,info@seetalabs.com,https://www.linkedin.com/company/seetalabs/,https://seetalabs.com,,,,,2020-01-01,year,Active,Seetalabs provides artificial intelligence tools to calculate the health status of machines and large power transformers.,$1M to $10M,10121,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
SeedsBit,https://www.crunchbase.com/organization/seedsbit,Private,For Profit,"Agriculture, Blockchain, Information Technology",1-10,"Palermo, Sicilia, Italy","2,992,382",,"2,913,654",,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Agriculture and Farming, Blockchain and Cryptocurrency, Information Technology, Other",,,,,,"Seedsbit use Blockchain and DLT technologies to create solutions in the field of agri-food tracking, enhancing the methodologies concerning both tracking and tracing of products in the course of their life and production cycle. They create and design systems based on new ideas, they use cutting-edge technologies to make each dish a unique experience, beyond simple food.",+39 091 555 7801,supporto@seedsbit.com,https://www.linkedin.com/company/seedsbit,https://seedsbit.com/en,,,,,2020-01-01,year,Active,SeedsBit solves problems of agro food traceability.,,10 90141,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Seaprom,https://www.crunchbase.com/organization/seaprom,Private,For Profit,"Audio, Events, Sports, Video",,"Rome, Lazio, Italy","3,217,862",,"3,134,737",,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Events, Media and Entertainment, Music and Audio, Sports, Video",,,,,,"Seaprom is an innovative global market startup for products and services, in the connection between the public and private world. It operates in the sectors of the cultural, sports, gaming, and luxury industries. They organize major events with the most innovative production techniques, thanks to the collaboration with writers, directors, archaeologists, musicians, computer engineers, programmers, art directors, level designers, and art photographers.",,info@seaprom.it,https://www.linkedin.com/company/seaprom,https://seaprom.it,,,,,2018-01-01,year,Active,"Seaprom operates in the sectors of the cultural, sports, and gaming industries and organizes events with production techniques.",,197,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Scuola PSB Consulting,https://www.crunchbase.com/organization/scuola-psb-consulting,Private,For Profit,"Consulting, E-Learning, Education, Training",11-50,"Naples, Campania, Italy","3,414,585",,"3,326,422",,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Education, Professional Services, Software",,,,,,,+39 3428322188,scuola@psbconsulting.it,https://www.linkedin.com/company/scuolapsbconsulting,https://scuola.psbconsulting.it,,,,,2021-01-01,year,Active,Scuola PSB Consulting is an educational institution that offers training and updating courses for DSGA and ATA.,,80124,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
ScreenWorld,https://www.crunchbase.com/organization/screenworld,Private,For Profit,"Broadcasting, Media and Entertainment, News, Public Relations",,"Milan, Lombardia, Italy","1,459,582",,"1,404,222",,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Floriana Giambarresi, Luca Liguori",2.0,"Content and Publishing, Media and Entertainment, Sales and Marketing, Video",,,,,,"ScreenWorld is a regional television station. community and national sports and local news are published by them. Football, baseball, and basketball are broadcast on the home team in most cases live. Their programming is syndicated. Additionally, they provide media planning and advertising services. They may transmit organized programming to viewership or it alludes to the company that runs the station.",,info@screenworld.it,,https://screenworld.it,,,,,2021-01-01,year,Active,"ScreenWorld is a window that observes and tells the world through the screen, with a focus on current affairs and trending topics.",,20122,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
ScreenedMe,https://www.crunchbase.com/organization/screenedme,Private,For Profit,,,"Naples, Campania, Italy","3,680,741",,"3,584,123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ScreenedMe is an innovative platform that allows to verify work experiences and academic background.,,,,,,,,,2021-01-01,year,Active,ScreenedMe is an innovative platform that allows to verify work experiences and academic background.,,80143,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
