,Ragione sociale,BvD ID number,Codice fiscale,Numero CCIAA,Partita IVA,Indirizzo sede legale,Provincia,Indirizzo sede legale - Codice postale,Indirizzo sede legale - Regione,Sede operativa,Sede operativa - Provincia,Sede operativa - Codice postale,Sede operativa - Regione - Regione,"ATECO 2007
codice",Anno di costituzione,Fondazione,Stato giuridico,Forma giuridica
1621.,IMPIANTI S.R.R. ATO 4 CALTANISSETTA PROVINCIA SUD S.R.L.,IT02052940851,02052940851,CL0116732,02052940851,"PZT DON PEDRO D'ALTARIVA, 1",Caltanissetta,93016,Sicilia,PIAZZETTA DON PEDRO D'ALTARIVA 1,Caltanissetta,93016,SICILIA,382109,09/10/2019,,Attiva,S.R.L.
1622.,CYBERTECH S.R.L.,IT15116891001,15116891001,RM1569058,15116891001,"PLE DELL'AGRICOLTURA, 24",Roma,00144,Lazio,PIAZZALE DELL'AGRICOLTURA 24,Roma,00144,LAZIO,620100,01/02/2019,,Attiva,S.R.L.
1623.,BARBERIS BUILDING SOLUTIONS S.R.L. SOCIETA' BENEFIT,IT03849060045,03849060045,CN0320017,03849060045,"CSO BAROLO, 48/A",Cuneo,12051,Piemonte,,,,,412000,25/09/2019,,Attiva,S.R.L.
1624.,F.V.L. S.R.L.,IT04220710240,04220710240,VI0388396,04220710240,"VIA XXV APRILE, 11",Vicenza,36070,Veneto,,,,,141910,15/05/2019,,Attiva,S.R.L.
1625.,ESI S.P.A.,IT14924611008,14924611008,RM1556435,14924611008,"VLE LUIGI SCHIAVONETTI, 290",Roma,00173,Lazio,VIALE LUIGI SCHIAVONETTI 290,Roma,00173,LAZIO,432101,18/09/2018,,Attiva,S.P.A.
1626.,NIELSEN MEDIA SERVICES ITALY S.R.L.,IT11227570964,11227570964,MI2588449,11227570964,"STR 6 MILANOFIORI, SNC",Milano,20057,Lombardia,"MILANOFIORI, STRADA 6 SNC",Milano,20057,LOMBARDIA,732000,11/03/2020,,Attiva,S.R.L.
1627.,CONSORZIO TRISCELIO,IT17176041006,17176041006,RM1700931,17176041006,"VIA GIULIO VINCENZO BONA, 65",Roma,00156,Lazio,,,,,421200,15/05/2023,,Attiva,Consorzio
1628.,CBS S.R.L.,IT04138270980,04138270980,BS0591511,04138270980,"VIA ITALIA, 66",Brescia,25080,Lombardia,VIA ITALIA 66,Brescia,25080,LOMBARDIA,292000,21/10/2019,,Attiva,S.R.L.
1629.,TWIST S.R.L.,IT06189760652,06189760652,SA0504113,06189760652,"VIA MARCELLO GARZIA, 13/B",Salerno,84013,Campania,,,,,465100,06/06/2023,,Attiva,S.R.L.
1630.,NCAB GROUP ITALY S.R.L.,IT03799700129,03799700129,VA0379957,03799700129,"VIA STAZIONE, 123",Varese,21020,Lombardia,VIA STAZIONE 123,Varese,21020,LOMBARDIA,465209,25/11/2020,,Attiva,S.R.L.
1631.,SUNPRIME DEVELOPMENT SOCIETA' A RESPONSABILITA' LIMITATA,IT07076750483,07076750483,MI2617125,07076750483,"VIA FABIO FILZI, 7",Milano,20124,Lombardia,,,,,711220,19/02/2021,,Attiva,S.R.L.
1632.,COSTRUZIONI ITALIA S.P.A.,IT03934220363,03934220363,MO0429604,03934220363,"VIA PER SASSUOLO, 59",Modena,41058,Emilia-Romagna,VIA PER SASSUOLO 59,Modena,41058,EMILIA-ROMAGNA,412000,02/10/2020,,Attiva,S.P.A.
1633.,CANTINA DI CONA SOCIETA' COOPERATIVA AGRICOLA,IT05149490285,05149490285,PD0446860,05149490285,"VIA SALBORO, 22/B",Padova,35124,Veneto,,,,,012100,19/06/2018,,Attiva,S.C.A.R.L.P.A.
1634.,S.C. ITALIA S.P.A.,IT05375370268,05375370268,TV0439236,05375370268,"VIA SAN PIO X, 44",Treviso,31020,Veneto,VIA VENEZIA 59,Treviso,31020,VENETO,494100,22/12/2022,,Attiva,S.P.A.
1635.,VISIONI SRL,IT09114331219,09114331219,NA1009399,09114331219,"VIA ARGINE, 380",Napoli,80147,Campania,VIA ARGINE 380,Napoli,80147,CAMPANIA,101300,14/01/2019,,Attiva,S.R.L.
1636.,SIEMENS MOBILITY S.R.L.,IT10320380966,10320380966,MI2522247,10320380966,"VIA VIPITENO, 4",Milano,20128,Lombardia,VIA VIPITENO 4,Milano,20128,LOMBARDIA,302002,10/04/2018,,Attiva,S.R.L.
1637.,SPM S.R.L.,IT15594581009,15594581009,RM1601530,15594581009,"VIA FONTANA DELL'OSTE, 29/A",Roma,00034,Lazio,PIAZZA SAN DOMENICO 3,Perugia,06034,UMBRIA,479910,23/01/2020,,Attiva,S.R.L.
1638.,LAMEPLAST S.R.L.,IT03830700369,03830700369,MO0421405,03830700369,"VIA GIOVANNI VERGA, 1-27",Modena,41016,Emilia-Romagna,VIA GIOVANNI VERGA 1-27,Modena,41016,EMILIA-ROMAGNA,222200,06/11/2018,,Attiva,S.R.L.
1639.,ACROBATICA ENERGY S.R.L. SIGLABILE COME A ENERGY S.R.L.,IT11704560967,11704560967,MI2620454,11704560967,"VIA FILIPPO TURATI, 29",Milano,20121,Lombardia,VIA BEATO SEBASTIANO VALFRE' 16,Torino,10121,PIEMONTE,412000,02/04/2021,,Attiva,S.R.L.
1640.,ECOPETROCELLI SOCIETA' PER AZIONI,IT15539061000,15539061000,RM1598055,15539061000,"VIA LIMA, 51-53",Roma,00198,Lazio,VIA LIMA 51-53,Roma,00198,LAZIO,412000,20/12/2019,,Attiva,S.P.A.
1641.,LABORATOIRES FILORGA COSMETIQUES ITALIA S.R.L.,IT10405530964,10405530964,MI2530310,10405530964,"VIA GIOVANNI BATTISTA PERGOLESI, 2/",Milano,20124,Lombardia,VIA GIOVANNI BATTISTA PERGOLESI 2/A,Milano,20124,LOMBARDIA,464500,28/06/2018,,Attiva,S.R.L.
1642.,CHEMICAL S.R.L.,IT09291301217,09291301217,NA1022060,09291301217,"GAL UMBERTO I, 27",Napoli,80132,Campania,GALLERIA UMBERTO I 27,Napoli,80132,CAMPANIA,467620,17/07/2019,,Attiva,S.R.L.
1643.,VISION SRL,IT02801170420,02801170420,AN0215992,02801170420,"VIA SOPRANI, 5/B",Ancona,60022,Marche,VIA SOPRANI 5/B,Ancona,60022,MARCHE,464990,24/10/2018,,Attiva,S.R.L.
1644.,UM UTENSILNORD METROTECNICA TOOLS S.R.L. IN BREVE UM TOOLS S.R.L.,IT04140440241,04140440241,VI0382523,04140440241,"VIA LAGO DI GARDA, 114",Vicenza,36015,Veneto,VIA LAGO DI GARDA 114,Vicenza,36015,VENETO,466200,20/02/2018,,Attiva,S.R.L.
1645.,FATTORIE ROBERTI SRL,IT04323320988,04323320988,BS0605856,04323320988,"VIA DEI RIALI, 4",Brescia,25081,Lombardia,VIA DEI RIALI 4,Brescia,25081,LOMBARDIA,463310,28/10/2021,,Attiva,S.R.L.
1646.,TAU METALLI S.R.L.,IT04175380981,04175380981,BS0594508,04175380981,"VIA DEL FERRO, 5/1",Brescia,25039,Lombardia,,,,,467220,19/02/2020,,Attiva,S.R.L.
1647.,CONSORZIO STABILE ARTEMIDE,IT14883781008,14883781008,RM1553592,14883781008,"VIA XX SETTEMBRE, 118",Roma,00187,Lazio,VIA XX SETTEMBRE 118,Roma,00187,LAZIO,412000,19/07/2018,,Attiva,Consorzio
1648.,HAITIAN MM ITALY S.R.L.,IT04329590980,04329590980,BS0606349,04329590980,"VIA GIUSEPPE DI VITTORIO, 56",Brescia,25125,Lombardia,,,,,289600,18/11/2021,,Attiva,S.R.L.
1649.,HIRPINIA ORSARA AV,IT16239331008,16239331008,RM1643654,16239331008,"VIA GIULIO VINCENZO BONA, 65",Roma,00156,Lazio,VIA NAZIONALE MANNA 4,Avellino,83031,CAMPANIA,421200,22/06/2021,,Attiva,Consorzio
1650.,I.G.C. - IMPRESA GENERALE COSTRUZIONI S.R.L.,IT11820820964,11820820964,MI2626379,11820820964,"VIA GIUSEPPE MENGONI, 4",Milano,20121,Lombardia,VIA GIUSEPPE MENGONI 4,Milano,20121,LOMBARDIA,412000,31/05/2021,,Attiva,S.R.L.
1651.,LUCREZIA PET S.R.L.,IT12512080966,12512080966,MI2666562,12512080966,"VIA ALESSANDRO MANZONI, 38",Milano,20121,Lombardia,,,,,477620,21/07/2022,,Attiva,S.R.L.
1652.,CLT AUTOTRASPORTI S.R.L.,IT02704400395,02704400395,FO0428098,02704400395,"VLE EUROPA, 596",Forlì-Cesena,47521,Emilia-Romagna,VIA ROMEA NORD 156/B,Ravenna,48122,EMILIA-ROMAGNA,494100,21/01/2022,,Attiva,S.R.L.
1653.,ENERGIA VERDE ITALIA S.P.A.,IT05959600650,05959600650,SA0486933,05959600650,"CSO GIUSEPPE GARIBALDI, 150",Salerno,84123,Campania,,,,,351400,09/12/2020,,Attiva,S.P.A.
1654.,ENERG POWER ITALIA S.R.L.,IT15193831003,15193831003,RM1574030,15193831003,"VIA XX SETTEMBRE, 98/E",Roma,00187,Lazio,VIA XX SETTEMBRE 98 E,Roma,00187,LAZIO,351100,12/03/2019,,Attiva,S.R.L.
1655.,REFRESH S.R.L.,IT05800820655,05800820655,SA0474842,05800820655,"VIA TOMMASO CARUTO, 5/7",Salerno,84131,Campania,VIA TOMMASO CARUTO 5/7,Salerno,84131,CAMPANIA,451901,20/03/2019,,Attiva,S.R.L.
1656.,A.M. METAL S.R.L.,IT09646941212,09646941212,CE0336120,09646941212,"VIA CARLO CASALEGNO, 7",Caserta,81031,Campania,,,,,711220,14/12/2020,,Attiva,S.R.L.
1657.,MISAR DUE S.R.L.,IT12243790966,12243790966,MI2648865,12243790966,"GAL BUENOS AIRES, 8",Milano,20124,Lombardia,GALLERIA BUENOS AIRES 8-12,Milano,20124,LOMBARDIA,682001,02/02/2022,,Attiva,S.R.L.
1658.,MONDO CONVENIENZA HOLDING S.P.A.,IT15964501009,15964501009,RM1626443,15964501009,"VIA GREGORIO VII, 474",Roma,00165,Lazio,VIA GREGORIO VII 474,Roma,00165,LAZIO,774000,22/12/2020,,Attiva,S.P.A.
1659.,T.ERRE EUROPE S.R.L.,IT03847471202,03847471202,BO0550786,03847471202,"VIA U.ARMAROLI, 9",Bologna,40012,Emilia-Romagna,VIA NICOLAO CENA 65,Torino,10032,PIEMONTE,242020,27/01/2020,,Attiva,S.R.L.
1660.,USTEC SRL,IT04650900402,04650900402,FO0429671,04650900402,"VIA LEONARDO DA VINCI, 28",Forlì-Cesena,47021,Emilia-Romagna,VIA LEONARDO DA VINCI 28,Forlì-Cesena,47021,EMILIA-ROMAGNA,289209,12/10/2022,,Attiva,S.R.L.
1661.,D&V RETAIL S.R.L.,IT04226830984,04226830984,BS0598388,04226830984,"VIA SAN ZENO, 76",Brescia,25124,Lombardia,VIA SAN ZENO 76,Brescia,25124,LOMBARDIA,471120,05/11/2020,,Attiva,S.R.L.
1662.,MCDERMOTT ITALIA S.R.L.,IT10755490967,10755490967,MI2554874,10755490967,"PZA TRE TORRI, 2",Milano,20145,Lombardia,,,,,702209,27/03/2019,,Attiva,S.R.L.
1663.,ARKIPIU' S.R.L.,IT09688461210,09688461210,CE0337188,09688461210,"VIA CONSORTILE, SC",Caserta,81032,Campania,,,,,411000,01/02/2021,,Attiva,S.R.L.
1664.,ITALGEL SRL,IT04212550984,04212550984,BS0597208,04212550984,"VIA RODI, 27",Brescia,25124,Lombardia,,,,,463920,10/09/2020,,Attiva,S.R.L.
1665.,VM GROUP SOCIETA' A RESPONSABILITA' LIMITATA,IT02303290569,02303290569,RM1661670,02303290569,"FOR TRAIANO, 1",Roma,00187,Lazio,VIA CERVETERI 3,Viterbo,01100,LAZIO,432902,21/01/2019,,Attiva,S.R.L.
1666.,APPLIED SRL,IT03708811207,03708811207,BO0540617,03708811207,"VIA SPERANZA, 35",Bologna,40068,Emilia-Romagna,VIA SPERANZA 35,Bologna,40068,EMILIA-ROMAGNA,620100,24/05/2018,,Attiva,S.R.L.
1667.,PATELEC S.R.L.,IT02563810064,02563810064,AL0266276,02563810064,"VIA NAZIONALE, 6",Alessandria,15020,Piemonte,VIA NAZIONALE 6,Alessandria,15020,PIEMONTE,273200,02/02/2018,,Attiva,S.R.L.
1668.,UNIONE CONSORZIO STABILE SEICI,IT05172470261,05172470261,TV0429492,05172470261,"VIA DELLA RIVETTA, 8",Treviso,31029,Veneto,,,,,412000,16/03/2021,,Attiva,Consorzio
1669.,CARTOTRENTINA SRL,IT02691910224,02691910224,TN0243039,02691910224,"VIA DELLA RUPE, 29",Trento,38017,Trentino-Alto Adige/Südtirol,,,,,172309,14/12/2022,,Attiva,S.R.L.
1670.,L'IGIENE URBANA EVOLUTION SRL,IT11277540966,11277540966,MI2591418,11277540966,"VIA ROBERTO LEPETIT, 8/10",Milano,20124,Lombardia,VIA LEONARDO DA VINCI 5,Salerno,84018,CAMPANIA,381100,27/05/2020,,Attiva,S.R.L.
1671.,TRASPOEUROPA SOCIETA' CONSORTILE PER AZIONI,IT02709550228,02709550228,TN0244241,02709550228,"VIA INNSBRUCK, 23",Trento,38121,Trentino-Alto Adige/Südtirol,VIA SAN SEBASTIAN 1,Trento,38121,TRENTINO-ALTO,494100,04/04/2023,,Attiva,Società consortile per azioni
1672.,VALPRES S.R.L.,IT04234740985,04234740985,BS0599088,04234740985,"VIA ANGELO GITTI, 11",Brescia,25060,Lombardia,,,,,281400,15/12/2020,,Attiva,S.R.L.
1673.,KONTRAKTOR 21 SOCIETA' A RESPONSABILITA' LIMITATA,IT02045790439,02045790439,MC0269578,02045790439,"VIA DEL FORNO VECCHIO, 39/41",Macerata,62027,Marche,,,,,412000,13/01/2021,,Attiva,S.R.L.
1674.,MIR SOLUTION S.R.L. - SOCIETA' BENEFIT O IN FORMA ABBREVIATA MIR SOLUTION S.R.L. - S.B.,IT04461200166,04461200166,BG0464627,04461200166,"VIA FRANCESCO COGHETTI, 6",Bergamo,24128,Lombardia,VIA FRANCESCO COGHETTI 6,Bergamo,24128,LOMBARDIA,711210,10/07/2020,,Attiva,S.R.L.
1675.,BATTAGLIA S.R.L.,IT10381430965,10381430965,MB2526942,10381430965,"VIA FILIPPO TURATI, 16",Monza e della Brianza,20826,Lombardia,VIA FILIPPO TURATI 16,Monza e della Brianza,20826,LOMBARDIA,310990,07/06/2018,,Attiva,S.R.L.
1676.,RAVIS SRL,IT01731240881,01731240881,RG0427718,01731240881,"VLO MARTINO SPANZOTTI, 3",Ragusa,97015,Sicilia,VICOLO MARTINO SPANZOTTI 3,Ragusa,97015,SICILIA,471990,17/02/2020,,Attiva,S.R.L.
1677.,COMEM S.P.A.,IT04303010245,04303010245,VI0394435,04303010245,"LOC SIGNOLO, 22/SR 11",Vicenza,36054,Veneto,LOCALITA' SIGNOLO 22 SR 11,Vicenza,36054,VENETO,271200,27/10/2020,,Attiva,S.P.A.
1678.,UNIVERSITA' TELEMATICA SAN RAFFAELE ROMA S.R.L.,IT97471900155,97471900155,RM1703854,06367280960,"VIA DI VAL CANNUTA, 247",Roma,00166,Lazio,,,,,854200,01/06/2023,,Attiva,S.R.L.
1679.,GREENSTAR S.P.A.,IT16158001004,16158001004,RM1638262,16158001004,"VIA ANTONIO GRAMSCI, 14",Roma,00197,Lazio,VIA ANTONIO GRAMSCI 14,Roma,00197,LAZIO,451101,22/04/2021,,Attiva,S.P.A.
1680.,CASH E CARRY S.R.L.,IT10395830960,10395830960,MI2528055,10395830960, BULEVARD IVAN GESHOV N.46,Milano,20161,Lombardia,VIA DON BARTOLOMEO GRAZIOLI 10,Milano,20161,LOMBARDIA,463920,08/06/2018,,Attiva,S.R.L.
1681.,GIFFONIELLO S.R.L.,IT05946020657,05946020657,SA0485863,05946020657,"VIA FRATELLI ROSSELLI, 358",Salerno,84096,Campania,,,,,105120,07/10/2020,,Attiva,S.R.L.
1682.,GARBO PRODUZIONI S.R.L.,IT14832661004,14832661004,RM1549173,14832661004,"VIA FERDINANDO DI SAVOIA, 3",Roma,00196,Lazio,VIA FERDINANDO DI SAVOIA 3,Roma,00196,LAZIO,591100,13/06/2018,,Attiva,S.R.L.
1683.,STARMATIK S.R.L.,IT05142300267,05142300267,TV0427894,05142300267,"VIA TAGLIAMENTO, 1",Treviso,31027,Veneto,VIA TAGLIAMENTO 1,Treviso,31027,VENETO,282999,15/01/2021,,Attiva,S.R.L.
1684.,12 BAIE SOCIETA' CONSORTILE A RESPONSABILITA' LIMITATA,IT16532731003,16532731003,RM1661328,16532731003,"VIA GUGLIELMO SALICETO, 1",Roma,00161,Lazio,,,,,412000,25/01/2022,,Attiva,Società consortile a responsabilita' limitata
1685.,ALL'ANTICO VINAIO ITALIA S.R.L.,IT07110740482,07110740482,FI0680329,07110740482,"VIA GIOVANNI DEL PIAN DEI CARPINI,",Firenze,50127,Toscana,VIA GIOVANNI DEL PIAN DEI CARPINI 96/6,Firenze,50127,TOSCANA,472990,30/06/2021,,Attiva,S.R.L.
1686.,ITALIA MARKET S.R.L.,IT10502730962,10502730962,MB2587918,10502730962,"VLE DELLE INDUSTRIE, 9/1",Monza e della Brianza,20883,Lombardia,,,,,464990,09/10/2018,,Attiva,S.R.L.
1687.,CONSORZIO HSC,IT09194971215,09194971215,NA1015228,09194971215,"VIA ARGINE, 425",Napoli,80147,Campania,,,,,331700,22/03/2019,,Attiva,Consorzio
1688.,PAPINIANO FINANCE S.R.L.,IT12188020965,12188020965,MI2645830,12188020965,"VIA OLONA, 2",Milano,20123,Lombardia,,,,,649100,17/01/2022,,Attiva,S.R.L.
1689.,OLTRE 33 S.R.L.,IT15001271004,15001271004,RM1561311,15001271004,VIA DEL PONTE DELLA CATENA,Roma,00133,Lazio,VIA DEL PONTE DELLA CATENA 87,Roma,00133,LAZIO,702209,20/11/2018,,Attiva,S.R.L.
1690.,FASHION FURNITURE DESIGN S.P.A.,IT11648550967,11648550967,MI2616683,11648550967,"VIA ALESSANDRO MANZONI, 38",Milano,20121,Lombardia,VIA ALESSANDRO MANZONI 38,Milano,20121,LOMBARDIA,464710,03/03/2021,,Attiva,S.P.A.
1691.,EH DISTRIBUTION ITALY S.R.L.,IT05921080650,05921080650,SA0483978,05921080650,"VIA PASSANTI, 174",Salerno,84018,Campania,VIA PASSANTI 174,Salerno,84018,CAMPANIA,464630,23/06/2020,,Attiva,S.R.L.
1692.,NUOVO OSPEDALE SUD EST BARESE SOCIETA' CONSORTILE A R.L. IN SIGLA NOSEB S.C. R.L.,IT14868731002,14868731002,RM1552136,14868731002,"VIA GIULIO VINCENZO BONA, 65",Roma,00156,Lazio,VIA GIULIO VINCENZO BONA 65,Roma,00156,LAZIO,412000,02/07/2018,,Attiva,Società consortile a responsabilita' limitata
1693.,RISPO FROZEN FOOD S.R.L.,IT04328750619,04328750619,CE0317837,04328750619,VIA LIMA,Caserta,81024,Campania,VIA LIMA 48,Caserta,81024,CAMPANIA,107200,01/06/2018,,Attiva,S.R.L.
1694.,SHPP SALES ITALY S.R.L.,IT04376970168,04376970168,BG0458116,04376970168,"VIA CA' TREVIGLIO, 4",Bergamo,24040,Lombardia,,,,,467502,15/04/2019,,Attiva,S.R.L.
1695.,MI S.P.A.,IT01334540323,01334540323,TS0205560,01334540323,"VIA GENOVA, 1",Trieste,34121,Friuli-Venezia Giulia,VIA GENOVA 1,Trieste,34121,FRIULI-VENEZIA,251210,10/10/2019,,Attiva,S.P.A.
1696.,ATENA SOCIETA' PER AZIONI,IT09588231218,09588231218,NA1043433,09588231218,VIA NAPOLI,Napoli,80053,Campania,VIA NAPOLI TRAVERSA VARO 1,Napoli,80053,CAMPANIA,711210,23/09/2020,,Attiva,S.P.A.
1697.,RJD SRL,IT15384501001,15384501001,RM1586948,15384501001,"VIA CASILINA, 1670",Roma,00133,Lazio,VIA CASILINA 1670,Roma,00133,LAZIO,471120,31/07/2019,,Attiva,S.R.L.
1698.,PRIME POWER S.R.L.,IT12346640019,12346640019,TO1283196,12346640019,"CSO RE UMBERTO, 9/BIS",Torino,10121,Piemonte,CORSO RE UMBERTO 9 BIS,Torino,10121,PIEMONTE,351400,02/09/2020,,Attiva,S.R.L.
1699.,ECO SMART SOLUTION S.R.L. - SOCIETA' BENEFIT,IT15841821000,15841821000,RM1618368,15841821000,"VIA ALFREDO CATALANI, 39",Roma,00199,Lazio,,,,,412000,16/09/2020,,Attiva,S.R.L.
1700.,GRUPPO LOMA S.R.L.,IT04881070231,04881070231,VR0453205,04881070231,"VIA DEI MUTILATI, 5",Verona,37122,Veneto,,,,,101100,16/02/2022,,Attiva,S.R.L.
1701.,NUOVA IMPRESA COSTRUZIONI MANUTENZIONI INDUSTRIALI S.R.L.,IT03853590929,03853590929,CA0302086,03853590929,"TRA A DI VIA V STRADA, S.N.",Cagliari,09032,Sardegna,TRAVERSA A DI VIA V STRADA SNC,Cagliari,09032,SARDEGNA,256200,05/06/2019,,Attiva,S.R.L.
1702.,IM CASTING S.R.L.,IT04231370984,04231370984,BS0598761,04231370984,"VIA GIUSEPPE GARIBALDI, 21",Brescia,25081,Lombardia,VIA GIUSEPPE GARIBALDI 21,Brescia,25081,LOMBARDIA,245300,27/11/2020,,Attiva,S.R.L.
1703.,DONAC S.R.L.,IT04064060041,04064060041,CN0333567,04064060041,"VIA MARGARITA, 8",Cuneo,12100,Piemonte,,,,,471120,13/06/2023,,Attiva,S.R.L.
1704.,HYDRO TRADE S.R.L.,IT11735470962,11735470962,MI2622633,11735470962,"VIA CARLO TENCA, 22",Milano,20124,Lombardia,VIA CARLO TENCA 22,Milano,20124,LOMBARDIA,467420,21/04/2021,,Attiva,S.R.L.
1705.,COLONNELLI 2 PUNTOZERO S.R.L.,IT02113150672,02113150672,RM1669721,02113150672,"PZA ANTONIO MANCINI, 4",Roma,00196,Lazio,VIA VINCENZO CERULLI 11,Teramo,64010,ABRUZZO,151209,28/12/2021,,Attiva,S.R.L.
1706.,NUCERIA METALLI S.R.L.,IT05706040655,05706040655,SA0467567,05706040655,"VIA ROMA, 10",Salerno,84016,Campania,VIA ROMA 10,Salerno,84016,CAMPANIA,467710,18/04/2018,,Attiva,S.R.L.
1707.,HITACHI RAIL GTS ITALIA S.R.L.,IT07157690483,07157690483,FI0683850,07157690483,"VIA AUGUSTO RIGHI, 4",Firenze,50019,Toscana,,,,,432101,26/01/2022,,Attiva,S.R.L.
1708.,GEA SOCIETA' COOPERATIVA,IT10409050969,10409050969,MI2529068,10409050969,"VIA GROSIO, 10",Milano,20151,Lombardia,VIA GROSIO 10/10,Milano,20151,LOMBARDIA,521000,28/06/2018,,Attiva,S.C.A.R.L.P.A.
1709.,ELISEO S.R.L.,IT01255210955,01255210955,OR0353171,01255210955,"VIA CAGLIARI, SNC",Oristano,09170,Sardegna,,,,,471110,08/07/2021,,Attiva,S.R.L.
1710.,EMMAUS S.R.L.,IT01457730032,01457730032,MI1916120,01457730032,"VIA CAPPUCCINI, 4",Milano,20122,Lombardia,,,,,873000,05/08/2024,,Attiva,S.R.L.
1711.,RUZZA OROLOGI SRL,IT11049590968,11049590968,MI2575601,11049590968,"VIA CESARE BATTISTI, 8",Milano,20122,Lombardia,,,,,477700,18/11/2019,,Attiva,S.R.L.
1712.,RIPARITALIA S.R.L.,IT11133740966,11133740966,MI2582554,11133740966,"VIA SEMPIONE, 197",Milano,20016,Lombardia,VIA MAFFEO BAGAROTTI 5/A,Milano,20152,LOMBARDIA,829999,23/01/2020,,Attiva,S.R.L.
1713.,GREENIT EOLICA 1 S.R.L.,IT12290680961,12290680961,MI2651690,12290680961,"VIA GIUSEPPE RIPAMONTI, 85",Milano,20141,Lombardia,VIA GIUSEPPE RIPAMONTI 85,Milano,20141,LOMBARDIA,351100,02/03/2022,,Attiva,S.R.L.
1714.,AL CENTRO S.P.A.,IT01715040190,01715040190,CR0195970,01715040190,"VIA STEFANO JACINI, 7",Cremona,26100,Lombardia,VIA STEFANO JACINI 7,Cremona,26100,LOMBARDIA,782000,25/10/2019,,Attiva,S.P.A.
1715.,CONCRETA S.R.L.,IT02345040519,02345040519,AR0202146,02345040519,"VIA GUELFA, 28",Arezzo,52100,Toscana,VIA GUELFA 28,Arezzo,52100,TOSCANA,464710,30/04/2019,,Attiva,S.R.L.
1716.,AGF ENERGY S.P.A.,IT08150620725,08150620725,BA0607676,08150620725," SAN PASQUALE O TORRE VRUNGOLO, 5/7",Bari,70125,Puglia,STRADELLA SAN PASQUALE 5/7,Bari,70125,PUGLIA,351400,23/03/2018,,Attiva,S.P.A.
1717.,BASSETTI ITALIA S.R.L.,IT11480670964,11480670964,MI2605866,11480670964,"VIA LEGNANO, 24",Milano,20027,Lombardia,VIA LEGNANO 24,Milano,20027,LOMBARDIA,464210,20/11/2020,,Attiva,S.R.L.
1718.,CONSORZIO KASSAR,IT17187931005,17187931005,RM1701784,17187931005,"VIA GIULIO VINCENZO BONA, 65",Roma,00156,Lazio,,,,,421200,22/05/2023,,Attiva,Consorzio
1719.,LE QUADRE 2 S.R.L.,IT04220310983,04220310983,BS0597792,04220310983,"VIA VECCHIA PER CASTELCOVATI, 2",Brescia,25032,Lombardia,VIA VECCHIA PER CASTELCOVATI 2,Brescia,25032,LOMBARDIA,471120,06/10/2020,,Attiva,S.R.L.
1720.,LAVENTINOVE S.R.L.,IT03690880129,03690880129,VA0371836,03690880129,"CSO XX SETTEMBRE, 65",Varese,21052,Lombardia,VIALE LUIGI CADORNA 3,Varese,21052,LOMBARDIA,412000,15/01/2019,,Attiva,S.R.L.
1721.,ARVI S.R.L.,IT08881991213,08881991213,NA0992101,08881991213,"VIA SAN FRANCESCO, 60",Napoli,80035,Campania,VIA SAN FRANCESCO 60,Napoli,80035,CAMPANIA,469000,26/02/2018,,Attiva,S.R.L.
1722.,TCL ITALIA S.R.L.,IT12405210969,12405210969,MI2659220,12405210969,"VIA TIZIANO, 32",Milano,20145,Lombardia,VIA TIZIANO 32,Milano,20145,LOMBARDIA,464310,09/05/2022,,Attiva,S.R.L.
1723.,PESPOW ITALY S.R.L.,IT05358220282,05358220282,PD0462037,05358220282,"VIA DELL'INDUSTRIA, 23",Padova,35018,Veneto,VIA DELL'INDUSTRIA 23,Padova,35018,VENETO,141310,18/02/2021,,Attiva,S.R.L.
1724.,GURIT ITALY S.R.L.,IT12096770016,12096770016,TO1264593,12096770016,"VIA TORINO, 105",Torino,10088,Piemonte,VIALE DELL'INDUSTRIA E DELL'ARTIGIANATO 22,Padova,35010,VENETO,222100,03/04/2019,,Attiva,S.R.L.
1725.,CICAI ARCOBALENO S.P.A.,IT04395230404,04395230404,RN0408137,04395230404,"VIA CORIANO, 58",Rimini,47924,Emilia-Romagna,VIA CORIANO 58,Rimini,47924,EMILIA-ROMAGNA,467420,24/05/2018,,Attiva,S.P.A.
1726.,H2H CLEANING S.R.L.,IT03744511209,03744511209,BO0543231,03744511209,"VIA UBALDO POLI, 4",Bologna,40069,Emilia-Romagna,VIA FRATELLI ROSSELLI 14/F,Bologna,40069,EMILIA-ROMAGNA,812100,30/11/2018,,Attiva,S.R.L.
1727.,EVOLUTION GREEN S.R.L.,IT04405540610,04405540610,CE0324205,04405540610,"VIA CICERONE, 51",Caserta,81031,Campania,,,,,702209,10/04/2019,,Attiva,S.R.L.
1728.,ANTICO FORNO DELLA ROMAGNA S.R.L.,IT04377760402,04377760402,FO0406564,04377760402,"VIA INNOCENZO GOLFARELLI, 78",Forlì-Cesena,47122,Emilia-Romagna,VIA INNOCENZO GOLFARELLI 78,Forlì-Cesena,47122,EMILIA-ROMAGNA,107110,22/02/2018,,Attiva,S.R.L.
1729.,TARMA S.R.L.,IT16877341004,16877341004,RM1681314,16877341004,"VLE GIOVANNI BATTISTA VALENTE, 190",Roma,00177,Lazio,,,,,471110,04/10/2022,,Attiva,S.R.L.
